GRNNo,LPONo,TDate,DNote,Item,Quantity,Price,VATAmount,NetAmount,Amount,Posted,Balance,SortOrder,Pick,VAT,Credit,Supplier,CurrMonth,Days,RefNo,Cash,BatchNo,Expiry,Blank,Quantity2,Price2,Return,UserName,Official,Remarks,Cancelled,B4,Curr,AVGPrice,AVGPrice2,StCn,Company,GoodsRet,Transfer,VATIncl,Discount,CostPrice,CostPrice2,Ref,BBF,BinLoc,InvNo,NetPrice
"32526",,"08/04/26 00:00:00",,"262304",1,750,0,750,750,0,750,2240,0,0,0,352,"8. AUGUST",17,"32526",1,,,1,0,-1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,750,0,,0,"Z001",,750
"32626",,"08/06/26 00:00:00",,"221885",5,3600,0,18000,18000,0,18000,2241,0,0,0,10004,"8. AUGUST",15,"32626",1,,,1,0,1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,3600,1,,0,"Z001",,3600
"32626",,"08/06/26 00:00:00",,"262305",1,5500,0,5500,5500,0,5500,2242,0,0,0,10004,"8. AUGUST",15,"32626",1,,,1,0,-1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,5500,0,,0,"Z001",,5500
"34426",,"08/20/26 00:00:00",,"6063",30,35,0,1050,1050,0,1050,2280,0,0,0,347,"8. AUGUST",1,"34426",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,35,1,,0,"Z001",,35
"32726",,"08/07/26 00:00:00",,"252063",50,120,0,6000,6000,0,6000,2243,0,0,0,350,"8. AUGUST",14,,1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,120,1,,0,"Z001",,120
"32726",,"08/07/26 00:00:00",,"6099",50,90,0,4500,4500,0,4500,2244,0,0,0,350,"8. AUGUST",14,,1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,90,1,,0,"Z001",,90
"32726",,"08/07/26 00:00:00",,"252043",20,115,0,2300,2300,0,2300,2245,0,0,0,350,"8. AUGUST",14,,1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,115,1,,0,"Z001",,115
"32826",,"08/05/26 00:00:00",,"262144",2,36000,0,72000,72000,0,72000,2246,0,0,0,10020,"8. AUGUST",16,"32826",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,36000,1,,0,"Z001",,36000
"32826",,"08/05/26 00:00:00",,"923",2,90000,0,180000,180000,0,180000,2247,0,0,0,10020,"8. AUGUST",16,"32826",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,90000,1,,0,"Z001",,90000
"32826",,"08/05/26 00:00:00",,"262306",3,195000,0,585000,585000,0,585000,2248,0,0,0,10020,"8. AUGUST",16,"32826",1,,,1,0,-1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,195000,0,,0,"Z001",,195000
"32926",,"08/05/26 00:00:00",,"262307",1,260000,0,260000,260000,0,260000,2249,0,0,0,10057,"8. AUGUST",16,"32926",1,,,1,0,-1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,260000,0,,0,"Z001",,260000
"33026",,"08/04/26 00:00:00",,"1425",198,80,0,15840,15840,0,15840,2250,0,0,0,354,"8. AUGUST",17,"33026",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,80,1,,0,"Z001",,80
"33026",,"08/04/26 00:00:00",,"262089",191,80,0,15280,15280,0,15280,2251,0,0,0,354,"8. AUGUST",17,"33026",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,80,1,,0,"Z001",,80
"33126",,"08/07/26 00:00:00",,"262308",1,3500,0,3500,3500,0,3500,2252,0,0,0,10004,"8. AUGUST",14,"33126",1,,,1,0,-1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,3500,0,,0,"Z001",,3500
"33226",,"08/07/26 00:00:00",,"262218",1,29500,0,29500,29500,0,29500,2253,0,0,0,353,"8. AUGUST",14,"33226",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,29500,1,,0,"Z001",,29500
"33326",,"08/07/26 00:00:00",,"5839",2,5200,0,10400,10400,0,10400,2254,0,0,0,10014,"8. AUGUST",14,"33326",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,5200,1,,0,"Z001",,5200
"33326",,"08/07/26 00:00:00",,"1094",2,4200,0,8400,8400,0,8400,2255,0,0,0,10014,"8. AUGUST",14,"33326",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,4200,1,,0,"Z001",,4200
"33326",,"08/07/26 00:00:00",,"1095",2,4200,0,8400,8400,0,8400,2256,0,0,0,10014,"8. AUGUST",14,"33326",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,4200,1,,0,"Z001",,4200
"33426",,"08/12/26 00:00:00",,"251941",30,250,0,7500,7500,0,7500,2257,0,0,0,10015,"8. AUGUST",9,"33426",1,,,1,0,1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,250,1,,0,"Z001",,250
"33426",,"08/12/26 00:00:00",,"6030",100,50,0,5000,5000,0,5000,2258,0,0,0,10015,"8. AUGUST",9,"33426",1,,,1,0,1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,50,1,,0,"Z001",,50
"33526",,"08/08/26 00:00:00",,"262234",1,20000,0,20000,20000,0,20000,2259,0,0,0,370,"8. AUGUST",13,"33526",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,20000,1,,0,"Z001",,20000
"33626",,"08/13/26 00:00:00",,"262296",6,2500,0,15000,15000,0,15000,2260,0,0,0,364,"8. AUGUST",8,"33626",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,2500,1,,0,"Z001",,2500
"33626",,"08/13/26 00:00:00",,"262309",3,4000,0,12000,12000,0,12000,2261,0,0,0,364,"8. AUGUST",8,"33626",1,,,1,0,-1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,4000,0,,0,"Z001",,4000
"33626",,"08/13/26 00:00:00",,"932",5,2200,0,11000,11000,0,11000,2262,0,0,0,364,"8. AUGUST",8,"33626",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,2200,1,,0,"Z001",,2200
"33626",,"08/13/26 00:00:00",,"669",5,1350,0,6750,6750,0,6750,2263,0,0,0,364,"8. AUGUST",8,"33626",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,1350,1,,0,"Z001",,1350
"33626",,"08/13/26 00:00:00",,"6316",5,900,0,4500,4500,0,4500,2264,0,0,0,364,"8. AUGUST",8,"33626",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,900,1,,0,"Z001",,900
"33726",,"08/13/26 00:00:00",,"262310",50,135,0,6750,6750,0,6750,2265,0,0,0,10059,"8. AUGUST",8,"33726",1,,,1,0,-1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,135,0,,0,"Z001",,135
