MINNo,OrderNo,TDate,Item,Qnty,Price,Qnty2,Price2,VAT,GRN,LPO,Posted,Pick,Credit,UnPaid,Discount,SortOrder,Customer,RetQnty,Cash,RefNo,NetInWords,Days,Pos,ClientName,Entry,UserName,Official,JobNo,JobCard,Cancelled,B4,Curr,Company,GoodsRet,Comm,Asst,Perc,AmtRecvd,VATIncl,InvNo,InvDt,IntRef,Profit,Profit2,Other,BinLoc,IDNo,LNo,RegNo,Driver,LDate,Approved,ClientAddress,NetPrice
"4325",,"12/03/25 00:00:00","5969",1,30,0,0,0,,,0,0,0,0,0,390,10002,0,1,,,-1,,,9,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"4325",,,13.89,0,,"Z001",,,,,,0,,30
"4425",,"11/29/25 00:00:00","1400",471.69809,0.52999997,0,0,0,,,0,0,0,0,0,393,341,0,1,,,-1,,,1,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"4425",,,0,0,,"Z001",,,,,,0,,0.52999997
"4425",,"11/29/25 00:00:00","1032",3,500,0,0,0,,,0,0,0,0,0,394,341,0,1,,,-1,,,2,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"4425",,,100,0,,"Z001",,,,,,0,,500
"4425",,"11/29/25 00:00:00","6334",4,350,0,0,0,,,0,0,0,0,0,395,341,0,1,,,-1,,,3,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"4425",,,95,0,,"Z001",,,,,,0,,350
"4425",,"11/29/25 00:00:00","6585",2,150,0,0,0,,,0,0,0,0,0,396,341,0,1,,,-1,,,4,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"4425",,,25,0,,"Z001",,,,,,0,,150
"4425",,"11/29/25 00:00:00","6098",4,50,0,0,0,,,0,0,0,0,0,397,341,0,1,,,-1,,,5,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"4425",,,22.45,0,,"Z001",,,,,,0,,50
"4425",,"11/29/25 00:00:00","5969",4,30,0,0,0,,,0,0,0,0,0,398,341,0,1,,,-1,,,6,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"4425",,,13.89,0,,"Z001",,,,,,0,,30
"4425",,"11/29/25 00:00:00","1084",0,5500,75,80,0,,,0,0,0,0,0,399,341,0,1,,,-1,,,7,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"4425",,,0,30.69,,"Z001",,,,,,0,,5500
"4425",,"11/29/25 00:00:00","5970",10,100,0,0,0,,,0,0,0,0,0,400,341,0,1,,,-1,,,8,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"4425",,,25,0,,"Z001",,,,,,0,,100
"4425",,"11/29/25 00:00:00","5984",2,90,0,0,0,,,0,0,0,0,0,401,341,0,1,,,-1,,,9,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"4425",,,60,0,,"Z001",,,,,,0,,90
"4425",,"11/29/25 00:00:00","6363",1,200,0,0,0,,,0,0,0,0,0,402,341,0,1,,,-1,,,10,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"4425",,,88,0,,"Z001",,,,,,0,,200
"4425",,"11/29/25 00:00:00","6030",2,100,0,0,0,,,0,0,0,0,0,403,341,0,1,,,-1,,,11,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"4425",,,20,0,,"Z001",,,,,,0,,100
"4425",,"11/29/25 00:00:00","6602",2,100,0,0,0,,,0,0,0,0,0,404,341,0,1,,,-1,,,12,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"4425",,,29.78,0,,"Z001",,,,,,0,,100
"4425",,"11/29/25 00:00:00","6505",2,100,0,0,0,,,0,0,0,0,0,405,341,0,1,,,-1,,,13,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"4425",,,26.59,0,,"Z001",,,,,,0,,100
